title,categoryName,price,totalScore,reviewsCount,deskripsi_gabungan
Nasi Liwet Mbok MAMI Mbak Kus,Rumah Makan,$,4.5,1257.0,nasi liwet mbok mami mbak kus rumah makan $
Seafood Muphus Laweyan,Restoran,harga standar,4.6,901.0,seafood muphus laweyan restoran harga standar
Tahu Kupat + Telor Widodo,Rumah Makan,harga standar,4.3,87.0,tahu kupat + telor widodo rumah makan harga standar
Rumah Makan Kemuning,Restoran Jawa,harga standar,4.5,1608.0,rumah makan kemuning restoran jawa harga standar
Warmindo Riverside,Rumah Makan,harga standar,4.7,1384.0,warmindo riverside rumah makan harga standar
Tengkleng Yu Tentrem,Kedai Sup,harga standar,4.5,258.0,tengkleng yu tentrem kedai sup harga standar
Tengkleng Solo Bu Jito Dlidir,Restoran Jawa,harga standar,4.3,1404.0,tengkleng solo bu jito dlidir restoran jawa harga standar
Sosis Solo Ibu Cicik,Restoran,harga standar,4.8,102.0,sosis solo ibu cicik restoran harga standar
RM Nini Thowong,Restoran Jawa Tengah,harga standar,4.3,5113.0,rm nini thowong restoran jawa tengah harga standar
Warung Ijo Cengklik,Restoran Jawa,harga standar,4.4,990.0,warung ijo cengklik restoran jawa harga standar
Lawang Djoendjing Cafe and Resto,Restoran,harga standar,4.2,1718.0,lawang djoendjing cafe and resto restoran harga standar
Rumah Makan Pak Die Solo Balapan,Restoran Jawa,harga standar,4.5,1966.0,rumah makan pak die solo balapan restoran jawa harga standar
Timlo Sastro 1,Restoran Jawa,harga standar,4.5,3235.0,timlo sastro 1 restoran jawa harga standar
Angkringan Omahe Whawin,Restoran Jawa,harga standar,4.4,2201.0,angkringan omahe whawin restoran jawa harga standar
SFA Steak & Resto Mojosongo,Restoran Keluarga,harga standar,4.7,2578.0,sfa steak & resto mojosongo restoran keluarga harga standar
MJF Resto (Mood Jadi Fresh),Restoran,harga standar,4.5,450.0,mjf resto (mood jadi fresh) restoran harga standar
Selat Solo Tenda Biru - KH. Samanhudi,Restoran,$$,4.6,864.0,selat solo tenda biru - kh. samanhudi restoran $$
Omah Senthir,Restoran,harga standar,4.4,194.0,omah senthir restoran harga standar
Bebek & Jenang Laweyan Omi,Restoran,harga standar,4.5,122.0,bebek & jenang laweyan omi restoran harga standar
Koka DeLight,Restoran,$,4.4,804.0,koka delight restoran $
Tahu Kres Solo,Kafe,harga standar,4.6,134.0,tahu kres solo kafe harga standar
Gila Penyet,Rumah Makan,harga standar,4.2,150.0,gila penyet rumah makan harga standar
Es Puter Aneka Rasa Pak Sis 2,Toko Es Krim,harga standar,4.8,472.0,es puter aneka rasa pak sis 2 toko es krim harga standar
Batagor Siomay Mang Edi,Restoran,$$,4.5,2560.0,batagor siomay mang edi restoran $$
"Pelopor ES BUAH & ES TELER ""PAK MIN""",Toko Es Krim,$,4.2,880.0,"pelopor es buah & es teler ""pak min"" toko es krim $"
Bakso Pak Emprit,Restoran Bakso,$,4.6,730.0,bakso pak emprit restoran bakso $
Esensi Laweyan,Restoran,$$,4.6,378.0,esensi laweyan restoran $$
Steak Mr.Joe & Kedai Kopi Joe,Restoran Steak,$,4.4,669.0,steak mr.joe & kedai kopi joe restoran steak $
Bebek Mropol Gentan,Rumah Makan,$$,4.2,227.0,bebek mropol gentan rumah makan $$
Mie Ayam Tugu Lilin Pajang,Restoran Mie,harga standar,4.5,1905.0,mie ayam tugu lilin pajang restoran mie harga standar
Gultik Soba 2 Gule Sapi - Kampoeng Batik Laweyan,Restoran,harga standar,4.8,31.0,gultik soba 2 gule sapi - kampoeng batik laweyan restoran harga standar
Sop Iga Sapi Mami Yuni,Kedai Sup,harga standar,4.7,252.0,sop iga sapi mami yuni kedai sup harga standar
Susu Segar Asli Boyolali Sepersusuan,Restoran,$,4.5,1263.0,susu segar asli boyolali sepersusuan restoran $
Nasi Gudeg Ceker & Liwet Bu Yanti,Restoran,$,4.4,350.0,nasi gudeg ceker & liwet bu yanti restoran $
Soto Pak Karso,Restoran soto,$,4.3,160.0,soto pak karso restoran soto $
Mie Ayam Pak Pangat,Restoran Mie,harga standar,4.8,135.0,mie ayam pak pangat restoran mie harga standar
Undo Usuk,Restoran Asia,harga standar,4.0,1.0,undo usuk restoran asia harga standar
Nasi Bakar Bu Kamtie,Restoran Asia Tenggara,harga standar,4.5,91.0,nasi bakar bu kamtie restoran asia tenggara harga standar
"mulia residence solo no.B4,Jl. Agung Timur No.2, Mojosongo, Kec. Jebres, Kota Surakarta, Jawa Tengah 57127",Restoran,harga standar,4.8,33.0,"mulia residence solo no.b4,jl. agung timur no.2, mojosongo, kec. jebres, kota surakarta, jawa tengah 57127 restoran harga standar"
Jangan Lombok Nyonyah,Restoran Indonesia,harga standar,4.7,343.0,jangan lombok nyonyah restoran indonesia harga standar
WARUNG MAKAN BU NYEMIK,Restoran Jawa,$,4.5,437.0,warung makan bu nyemik restoran jawa $
Sambal Bakar Solo,Rumah Makan,harga standar,4.5,92.0,sambal bakar solo rumah makan harga standar
Ubud Balinya Solo,Kafe,$$,4.6,182.0,ubud balinya solo kafe $$
Jenang Bu Hartono,Warung Makanan Kecil,harga standar,4.5,65.0,jenang bu hartono warung makanan kecil harga standar
Warung Mas Mbull Mojosongo,Restoran Prasmanan,harga standar,4.6,479.0,warung mas mbull mojosongo restoran prasmanan harga standar
Es Palupi,Kedai Sup,harga standar,4.5,207.0,es palupi kedai sup harga standar
Warung Bendung tirtonadi,Restoran Indonesia,harga standar,4.6,17.0,warung bendung tirtonadi restoran indonesia harga standar
Es Coklat Colnat,Restoran,harga standar,4.4,586.0,es coklat colnat restoran harga standar
Warmindo Lantai Atas,Warung Makanan Kecil,harga standar,3.8,231.0,warmindo lantai atas warung makanan kecil harga standar
Mie Aceh Meuligoe,Restoran Mie,$,4.5,1396.0,mie aceh meuligoe restoran mie $
Angkringan Palang Joglo,Toko Makanan,$,4.5,299.0,angkringan palang joglo toko makanan $
nDalem Kopi Surakarta,Restoran,harga standar,4.5,65.0,ndalem kopi surakarta restoran harga standar
Lesehan Hik Gaul Pak Amir,Rumah Makan,harga standar,4.5,329.0,lesehan hik gaul pak amir rumah makan harga standar
Es lumer ice & food,Restoran,$,4.6,414.0,es lumer ice & food restoran $
Waroeng Jazz Ndeso,Restoran,$,4.7,249.0,waroeng jazz ndeso restoran $
Wedangan Sakéca,Rumah Makan,harga standar,4.4,212.0,wedangan sakéca rumah makan harga standar
Twins Cafe Solo,Restoran,harga standar,4.8,143.0,twins cafe solo restoran harga standar
"Warung Makan ""Mbak Tutik""",Restoran Jawa,$$,4.6,288.0,"warung makan ""mbak tutik"" restoran jawa $$"
Omah Frozen Food Solo,Toko makanan beku,$,4.7,166.0,omah frozen food solo toko makanan beku $
Spesial Sapi,Restoran Sup,harga standar,4.9,95.0,spesial sapi restoran sup harga standar
Kepiting Incees Mojosongo,Restoran Seafood,$,4.3,240.0,kepiting incees mojosongo restoran seafood $
"Solo Steak Mojosongo "" 1 """,Restoran Steak,$,4.7,2590.0,"solo steak mojosongo "" 1 "" restoran steak $"
Spesial Nasi Goreng Pak Min Solo,Restoran Nasi Goreng,$,4.6,417.0,spesial nasi goreng pak min solo restoran nasi goreng $
Sop Legendaris Mbok Atun & Wedangan Live Musik,Kedai Sup,$,4.4,526.0,sop legendaris mbok atun & wedangan live musik kedai sup $
Pasar Nusukan,Pasar,harga standar,4.4,5915.0,pasar nusukan pasar harga standar
Soto Seger Sastro Mojosongo,Restoran soto,$,4.2,818.0,soto seger sastro mojosongo restoran soto $
Tweety Fried Chicken Pusat (Spesial Sambel Ijo),Restoran Masakan Ayam,harga standar,4.5,549.0,tweety fried chicken pusat (spesial sambel ijo) restoran masakan ayam harga standar
tahu kupat saerah pak jo komplang,Restoran,harga standar,4.6,28.0,tahu kupat saerah pak jo komplang restoran harga standar
Hip Coffee Artisans,Kedai Kopi,harga standar,4.4,579.0,hip coffee artisans kedai kopi harga standar
kuliner,Paket Makanan Pokok,harga standar,0.0,0.0,kuliner paket makanan pokok harga standar
Soto Gading 1,Restoran soto,harga standar,4.5,9898.0,soto gading 1 restoran soto harga standar
Banyu Langit Resto dan Wedangan,Restoran Indonesia,harga standar,4.4,1947.0,banyu langit resto dan wedangan restoran indonesia harga standar
Nasi Liwet Yu Sani Gemblegan,Restoran Jawa Tengah,harga standar,4.5,2477.0,nasi liwet yu sani gemblegan restoran jawa tengah harga standar
SELAT SOLO Bu Rina,Restoran,harga standar,4.6,254.0,selat solo bu rina restoran harga standar
WESJA Indonesia,Restoran Jawa,harga standar,4.6,250.0,wesja indonesia restoran jawa harga standar
Warung Pecel Menangan,Restoran Indonesia,harga standar,4.6,1206.0,warung pecel menangan restoran indonesia harga standar
GuloJowo Indonesia,Restoran,harga standar,4.7,1295.0,gulojowo indonesia restoran harga standar
Es Masuk Gajahan,Restoran,harga standar,4.4,2852.0,es masuk gajahan restoran harga standar
Alun-Alun Kidul Surakarta,Tujuan Wisata,harga standar,4.5,27688.0,alun-alun kidul surakarta tujuan wisata harga standar
JAGONYA Durian Solo,Restoran,harga standar,4.3,592.0,jagonya durian solo restoran harga standar
Serba Ingkung Alana Yovi,Restoran Indonesia,harga standar,4.8,63.0,serba ingkung alana yovi restoran indonesia harga standar
Jajan Solo,Pasar tradisional,harga standar,4.8,4.0,jajan solo pasar tradisional harga standar
Nasi Liwet Bu Enjang,Restoran,harga standar,4.6,298.0,nasi liwet bu enjang restoran harga standar
Teradisional,Restoran Indonesia,$$,4.7,1270.0,teradisional restoran indonesia $$
"Waroeng Spesial Sambal ""SS"" Pattimura",Restoran Ikan Bakar,$,4.2,3249.0,"waroeng spesial sambal ""ss"" pattimura restoran ikan bakar $"
Nasi Liwet Bu Kirmadi,Restoran,$,4.5,546.0,nasi liwet bu kirmadi restoran $
Warung Soto Ayam Gading 04,Restoran,$$,4.4,991.0,warung soto ayam gading 04 restoran $$
Harjo Bestik,Dapur Umum,harga standar,4.2,33.0,harjo bestik dapur umum harga standar
Tekeja Chinese Restaurant,Restoran China,$$,4.3,295.0,tekeja chinese restaurant restoran china $$
Nasi Liwet Bu Darmi,Restoran,harga standar,4.6,265.0,nasi liwet bu darmi restoran harga standar
Lotek Nyuss...,Rumah Makan,$,4.7,279.0,lotek nyuss... rumah makan $
"Bakmi Jawa Dawung Kulon, Mas Nelis",Restoran Mie,harga standar,4.7,17.0,"bakmi jawa dawung kulon, mas nelis restoran mie harga standar"
Serabi Kembar,Toko Makanan,$,4.5,114.0,serabi kembar toko makanan $
Bakmi Jawa Pak Met2,Restoran Mie,harga standar,4.5,321.0,bakmi jawa pak met2 restoran mie harga standar
Rocket Chicken Joyotakan,Restoran Masakan Ayam,$,4.1,802.0,rocket chicken joyotakan restoran masakan ayam $
Bika Ambon Larizo Dawung,Toko Roti,$$,4.9,406.0,bika ambon larizo dawung toko roti $$
Nasi liwet Bu Tarni,Warung nasi,harga standar,2.5,2.0,nasi liwet bu tarni warung nasi harga standar
Nasi Bebek Pedas Khas Madura Cak Irfan,Rumah Makan,$$,4.4,448.0,nasi bebek pedas khas madura cak irfan rumah makan $$
Angkringan Sumilirndalu,Warung nasi,harga standar,4.4,79.0,angkringan sumilirndalu warung nasi harga standar
Ayam Keprabon x Mie Keprabon Mojosongo,Restoran Masakan Ayam,$,4.6,1139.0,ayam keprabon x mie keprabon mojosongo restoran masakan ayam $
Bakso Kadipolo,Restoran Bakso,harga standar,4.3,374.0,bakso kadipolo restoran bakso harga standar
Steak Moen Moen Mojosongo,Restoran Steak,$,4.4,1747.0,steak moen moen mojosongo restoran steak $
Pentol jackim,Taman,harga standar,4.6,65.0,pentol jackim taman harga standar
Taman Jayawijaya Mojosongo,Taman Kota,harga standar,4.5,6102.0,taman jayawijaya mojosongo taman kota harga standar
Rocket Chicken Nusukan,Restoran Masakan Ayam,$,4.3,518.0,rocket chicken nusukan restoran masakan ayam $
Amongrasa Private Kitchen,Restoran,harga standar,4.6,85.0,amongrasa private kitchen restoran harga standar
Nasi Goreng dan Mie Godok Jowo Pundung Gede,Restoran,harga standar,4.1,18.0,nasi goreng dan mie godok jowo pundung gede restoran harga standar
Intip Madu 45 Ciri khas Surakarta,Pusat Perbelanjaan,harga standar,4.9,10.0,intip madu 45 ciri khas surakarta pusat perbelanjaan harga standar
Wedangan Uma Bambu,Restoran Jawa,harga standar,4.0,144.0,wedangan uma bambu restoran jawa harga standar
MIXUE Mojosongo,Toko Es Krim,$$,4.7,720.0,mixue mojosongo toko es krim $$
Harmet Carwash,Tempat Pencucian Mobil,harga standar,4.2,419.0,harmet carwash tempat pencucian mobil harga standar
Tempat,Dapur Umum,harga standar,0.0,0.0,tempat dapur umum harga standar
Mie Ayam Pak Burhan,Restoran Mie,harga standar,4.6,56.0,mie ayam pak burhan restoran mie harga standar
Pabrik Dika Bakery & Cake,Toko Roti,$$,4.4,250.0,pabrik dika bakery & cake toko roti $$
Gedung Serbaguna dan Pusat Pertokoan UNU Surakarta,Gedung Pertemuan,harga standar,4.3,159.0,gedung serbaguna dan pusat pertokoan unu surakarta gedung pertemuan harga standar
Pizza Hut Delivery - PHD Indonesia,Stan Pizza,$$,4.6,1165.0,pizza hut delivery - phd indonesia stan pizza $$
MRCL Coffee Studio,Kedai Kopi,harga standar,4.6,123.0,mrcl coffee studio kedai kopi harga standar
Podjok Lampu,Restoran,harga standar,4.3,74.0,podjok lampu restoran harga standar
Sate Kambing & Tengkleng Rica Rica Pak Manto,Restoran Sate,harga standar,4.4,17745.0,sate kambing & tengkleng rica rica pak manto restoran sate harga standar
Resto Solo,Restoran Jawa,harga standar,4.9,652.0,resto solo restoran jawa harga standar
Sate Kere Yu Rebi,Restoran Sate,harga standar,4.3,1317.0,sate kere yu rebi restoran sate harga standar
Warung Cari Makan,Restoran Indonesia,harga standar,4.5,2939.0,warung cari makan restoran indonesia harga standar
RM Pecel Bu Kis,Restoran,harga standar,4.4,1072.0,rm pecel bu kis restoran harga standar
Warung Pecel dan Sop - Dewi,Restoran Indonesia,harga standar,4.5,657.0,warung pecel dan sop - dewi restoran indonesia harga standar
Gudeg Mbak Yus,Restoran,harga standar,4.4,1253.0,gudeg mbak yus restoran harga standar
Dapur Solo Hj. Indrat (Edutorium UMS),Restoran Prasmanan,harga standar,4.6,5069.0,dapur solo hj. indrat (edutorium ums) restoran prasmanan harga standar
Épice Restaurant,Restoran Jawa,harga standar,4.8,141.0,épice restaurant restoran jawa harga standar
Rumah Banjar Garden Resto,Restoran Indonesia,harga standar,4.5,1382.0,rumah banjar garden resto restoran indonesia harga standar
Bandar Makassar Garden Resto,Restoran Sulawesi Selatan,harga standar,4.6,518.0,bandar makassar garden resto restoran sulawesi selatan harga standar
Warung Jepun UMS,Restoran ayam penyet,harga standar,4.6,1783.0,warung jepun ums restoran ayam penyet harga standar
Timlo Maestro,Kedai Sup,$$,4.5,1877.0,timlo maestro kedai sup $$
Soto Triwindu,Restoran soto,$$,4.5,5152.0,soto triwindu restoran soto $$
Wedang Dongo Keprabon,Kafe,harga standar,4.6,539.0,wedang dongo keprabon kafe harga standar
Pokwe Nuke (Prasmanan & Katering) Singosaren,Restoran Prasmanan,$,4.5,486.0,pokwe nuke (prasmanan & katering) singosaren restoran prasmanan $
Timlo Kratonan,Restoran,$,4.7,383.0,timlo kratonan restoran $
Kawasan Kuliner Shelter Kerten Timur,Kedai Sarapan & Makan Siang,harga standar,4.8,8.0,kawasan kuliner shelter kerten timur kedai sarapan & makan siang harga standar
Bubur Ayam Sekawan,Restoran Bubur,harga standar,4.6,1085.0,bubur ayam sekawan restoran bubur harga standar
Bebek Goreng H. Slamet (Asli),Restoran Jawa,harga standar,4.5,1193.0,bebek goreng h. slamet (asli) restoran jawa harga standar
Saung Bandung Garden Resto,Restoran,harga standar,4.4,789.0,saung bandung garden resto restoran harga standar
Ndopo Srimulat,Restoran,harga standar,4.7,129.0,ndopo srimulat restoran harga standar
Night Owls,Restoran,harga standar,4.7,1286.0,night owls restoran harga standar
Pondok Jowi,Restoran Bali,harga standar,4.5,2280.0,pondok jowi restoran bali harga standar
Warung kuliner 69,Restoran Keluarga,harga standar,4.1,36.0,warung kuliner 69 restoran keluarga harga standar
Bengawan Solo Food Court,Pujasera,harga standar,4.6,228.0,bengawan solo food court pujasera harga standar
Umayumcha UMS,Restoran Dim Sum,$,4.5,931.0,umayumcha ums restoran dim sum $
Shigeru Solo Square Mall,Restoran Sushi,$$,4.3,172.0,shigeru solo square mall restoran sushi $$
Chandikala Rooftop Solo Square,Pujasera,harga standar,4.7,68.0,chandikala rooftop solo square pujasera harga standar
Solaria - Solo Square Mall,Restoran,harga standar,4.1,1088.0,solaria - solo square mall restoran harga standar
Balakosa Cafe & Resto,Restoran,harga standar,4.3,7.0,balakosa cafe & resto restoran harga standar
Angkringan Omah Semar,Kafe,$$,3.7,1762.0,angkringan omah semar kafe $$
Kedai Cobek,Pujasera,harga standar,3.4,65.0,kedai cobek pujasera harga standar
RamenYA! Solo Square,Restoran Ramen,harga standar,4.7,958.0,ramenya! solo square restoran ramen harga standar
Selat Gajahan,Kedai Sup,$$,4.6,455.0,selat gajahan kedai sup $$
Nasi Kuning Bang Ro,Restoran cepat saji,harga standar,4.3,433.0,nasi kuning bang ro restoran cepat saji harga standar
Pasar Malam Ngarsopuro,Tujuan Wisata,harga standar,4.5,6248.0,pasar malam ngarsopuro tujuan wisata harga standar
Gule Kepala Ikan Mas Agus,Restoran ikan,$$,4.5,2339.0,gule kepala ikan mas agus restoran ikan $$
Warung Pedas Raya,Restoran,harga standar,4.8,520.0,warung pedas raya restoran harga standar
Solo's Bistro,Restoran Masakan Barat,$$,4.5,6469.0,solo's bistro restoran masakan barat $$
PENYETAN MAKDEL PENUMPING,Restoran,$$,3.9,645.0,penyetan makdel penumping restoran $$
Nasi Liwet & Cabuk Rambak Bu Parmi,Restoran Sunda,$,4.6,1552.0,nasi liwet & cabuk rambak bu parmi restoran sunda $
Tirai Bamboe Restaurant,Restoran China,$$,4.5,3049.0,tirai bamboe restaurant restoran china $$
Kuliner Keprabon,Restoran Indonesia,harga standar,4.4,16.0,kuliner keprabon restoran indonesia harga standar
Bakmi Jowo Bu Citro 1 Solo,Restoran Mie,harga standar,4.5,3241.0,bakmi jowo bu citro 1 solo restoran mie harga standar
SOP SAREH AYAM KAMPUNG,Restoran,harga standar,4.6,398.0,sop sareh ayam kampung restoran harga standar
Nasi Liwet Bu Wongso Lemu,Restoran Jawa,$$,3.9,5219.0,nasi liwet bu wongso lemu restoran jawa $$
Tanadja ( d/h Armey Kitchen ),Restoran,harga standar,4.7,1646.0,tanadja ( d/h armey kitchen ) restoran harga standar
BAKSO TITOTI SOLO,Restoran Bakso,$$,4.5,5310.0,bakso titoti solo restoran bakso $$
Dapur Asli Solo,Restoran,$$,4.4,425.0,dapur asli solo restoran $$
Ayam Goreng Kampung Mbak Dewi,Restoran Masakan Ayam,$,4.7,620.0,ayam goreng kampung mbak dewi restoran masakan ayam $
Harjo Bestik Pasar Kembang,Restoran Jawa,$,4.1,947.0,harjo bestik pasar kembang restoran jawa $
Timlo Khas Solo,Restoran cepat saji,harga standar,4.3,55.0,timlo khas solo restoran cepat saji harga standar
(SEGO SAMBEL) SAHABAT SEGO SAMBEL,Restoran,harga standar,4.5,1426.0,(sego sambel) sahabat sego sambel restoran harga standar
Mom Milk,Restoran,$$,4.4,2729.0,mom milk restoran $$
Omah Londo Angkringan,Restoran Jawa,$$,4.3,2688.0,omah londo angkringan restoran jawa $$
KULINER KOTABARAT,Restoran,harga standar,4.3,114.0,kuliner kotabarat restoran harga standar
Sajian Selalu Mareme,Restoran China,$$,4.4,1383.0,sajian selalu mareme restoran china $$
WEDANGAN BASUKI SONDAKAN,Restoran,$$,4.3,1134.0,wedangan basuki sondakan restoran $$
KEBULI JOELAK,Restoran Masakan Perpaduan,harga standar,4.9,48.0,kebuli joelak restoran masakan perpaduan harga standar
AGRA Rooftop,Bar,$$$,4.8,631.0,agra rooftop bar $$$
Warung Mbok Galak,Restoran Sate,$,4.3,100.0,warung mbok galak restoran sate $
Soto Kwali dan Nasi Goreng Rempah Gapuro Kleco,Restoran soto,$$,4.5,281.0,soto kwali dan nasi goreng rempah gapuro kleco restoran soto $$
Pecel Ndesso & Selat Solo Yu Djasmo,Rumah Makan,harga standar,3.4,13.0,pecel ndesso & selat solo yu djasmo rumah makan harga standar
Warung Makan Moeslem Chicken,Restoran Jawa,$,4.5,1097.0,warung makan moeslem chicken restoran jawa $
Angkringan Murah Special Bu Nduth Pokwe,Restoran Jawa,$,4.6,264.0,angkringan murah special bu nduth pokwe restoran jawa $
Lontong Opor Gudeg MANNA & SALWA,Restoran Indonesia,harga standar,4.7,267.0,lontong opor gudeg manna & salwa restoran indonesia harga standar
Seafood Lamongan Siang Malam,Restoran Seafood,harga standar,4.5,157.0,seafood lamongan siang malam restoran seafood harga standar
A&W Solo Square,Restoran cepat saji,$$,4.5,407.0,a&w solo square restoran cepat saji $$
HokBen - Solo Square,Restoran cepat saji,$$,4.2,491.0,hokben - solo square restoran cepat saji $$
WE Eatery & Drinkery,Restoran Jepang,$$,4.6,221.0,we eatery & drinkery restoran jepang $$
Nikmat Selalu Solo,Restoran,harga standar,4.4,162.0,nikmat selalu solo restoran harga standar
RM Sederhana Padang Kleco,Restoran Padang,$$,4.5,3941.0,rm sederhana padang kleco restoran padang $$
Omah Makan BUSARDJO,Restoran,$,4.7,83.0,omah makan busardjo restoran $
Ayam Panggang Kwali Mbok Lami,Restoran Indonesia,$$,4.7,793.0,ayam panggang kwali mbok lami restoran indonesia $$
RM Madukoro,Restoran Masakan Ayam,$$,4.3,792.0,rm madukoro restoran masakan ayam $$
Kare Bayam Mbak Lies,Restoran,harga standar,4.5,201.0,kare bayam mbak lies restoran harga standar
BUBUR BAKAR & SOTO REMPAH BADRAN,Restoran Bubur,$,4.6,1562.0,bubur bakar & soto rempah badran restoran bubur $
PECEL MADIUN LARIS MANIS SIWALAN,Restoran Jawa,harga standar,4.6,2256.0,pecel madiun laris manis siwalan restoran jawa harga standar
Wedangan Nala Gareng,Kedai Teh Tradisional,$,4.5,1768.0,wedangan nala gareng kedai teh tradisional $
Keris Cafe & Kitchen,Restoran Indonesia,$$,4.3,598.0,keris cafe & kitchen restoran indonesia $$
SOP BUNTUT SERUNI,Restoran Sup,$$,4.5,852.0,sop buntut seruni restoran sup $$
"Waroeng Spesial Sambal ""SS"" Manahan",Rumah Makan,$,4.5,7472.0,"waroeng spesial sambal ""ss"" manahan rumah makan $"
Sate Kambing H. Man Gullit,Restoran Sate,$$,4.7,922.0,sate kambing h. man gullit restoran sate $$
SORAMEN,Restoran Jepang,$$,4.7,8925.0,soramen restoran jepang $$
BaReLo Solo,Restoran Prasmanan,harga standar,4.5,59.0,barelo solo restoran prasmanan harga standar
Tengkleng Mbak Diah kerten,Restoran Sate,$$,4.1,1291.0,tengkleng mbak diah kerten restoran sate $$
Soto Bati'ah,Kedai Sarapan,$$,4.3,1304.0,soto bati'ah kedai sarapan $$
"Waroeng Spesial Sambal ""SS"" Kerten",Restoran Indonesia,$,4.4,2983.0,"waroeng spesial sambal ""ss"" kerten restoran indonesia $"
Shelter MANAHAN,Pujasera,harga standar,4.5,95.0,shelter manahan pujasera harga standar
Bakmi Jowo Koeno Mbah Mangoen,Restoran Mie,$$,4.2,2762.0,bakmi jowo koeno mbah mangoen restoran mie $$
Es Kobar,Restoran,$,4.4,676.0,es kobar restoran $
RM Warung Kita,Restoran China,$$,4.5,951.0,rm warung kita restoran china $$
Es Kapal,Toko Es Krim,$,4.7,848.0,es kapal toko es krim $
Soto Kirana,Restoran soto,$$,4.4,2566.0,soto kirana restoran soto $$
Dali Gelato & Mediterranean Kitchen,Restoran,$$,4.6,1215.0,dali gelato & mediterranean kitchen restoran $$
Warung Sop Matahari dan Selat Mbak Tuk 1,Warung Makanan Kecil,harga standar,4.7,137.0,warung sop matahari dan selat mbak tuk 1 warung makanan kecil harga standar
Wedangan Echo(honggowongso),Restoran,$$,4.6,1004.0,wedangan echo(honggowongso) restoran $$
Tahu Kupat ' Pak Cip ' Sidomampir,Restoran Jawa Tengah,$,4.5,157.0,tahu kupat ' pak cip ' sidomampir restoran jawa tengah $
Es Buah Bunuh Diri,Restoran,$,4.4,2098.0,es buah bunuh diri restoran $
Srabi Notosuman Ny. Handayani,Pujasera,harga standar,4.6,688.0,srabi notosuman ny. handayani pujasera harga standar
Soto Daging Sapi Pak Keman 1,Kedai Sup,harga standar,4.6,1589.0,soto daging sapi pak keman 1 kedai sup harga standar
LAWSON JI. SLAMET RIYADI SURAKARTA,Restoran,harga standar,4.1,216.0,lawson ji. slamet riyadi surakarta restoran harga standar
